"Filename","Type","Size (MB)","Error"
"Bryan Mark Rigg - 19-19B Updated Version Helmut Krüger (50% Jew) 27 & 31 Aug. 1994, Berlin, Ger., Harald Steinke (50% Jew) 1 Sept. 1994 Berlin, Ger., and Helmuth Kopp (50% Jew) 3 Sept. 1994 Berlin. Ger.mp4","video","0.00","Error calculating duration: MoviePy error: failed to read the duration of file /Users/dalecarman/Groove Jones Dropbox/Dale Carman/Projects/Bryan Rigg/_ORIGINAL_SOURCE/Bryan Mark Rigg - 19-19B Updated Version Helmut Krüger (50% Jew) 27 & 31 Aug. 1994, Berlin, Ger., Harald Steinke (50% Jew) 1 Sept. 1994 Berlin, Ger., and Helmuth Kopp (50% Jew) 3 Sept. 1994 Berlin. Ger.mp4.
Here are the file infos returned by ffmpeg:

ffmpeg version 7.1 Copyright (c) 2000-2024 the FFmpeg developers
  built with Apple clang version 13.1.6 (clang-1316.0.21.2.5)
  configuration: --prefix=/Volumes/tempdisk/sw --extra-cflags=-fno-stack-check --arch=arm64 --cc=/usr/bin/clang --enable-gpl --enable-libvmaf --enable-libopenjpeg --enable-libopus --enable-libmp3lame --enable-libx264 --enable-libx265 --enable-libvpx --enable-libwebp --enable-libass --enable-libfreetype --enable-fontconfig --enable-libtheora --enable-libvorbis --enable-libsnappy --enable-libaom --enable-libvidstab --enable-libzimg --enable-libsvtav1 --enable-libharfbuzz --enable-libkvazaar --pkg-config-flags=--static --enable-ffplay --enable-postproc --enable-neon --enable-runtime-cpudetect --disable-indev=qtkit --disable-indev=x11grab_xcb
  libavutil      59. 39.100 / 59. 39.100
  libavcodec     61. 19.100 / 61. 19.100
  libavformat    61.  7.100 / 61.  7.100
  libavdevice    61.  3.100 / 61.  3.100
  libavfilter    10.  4.100 / 10.  4.100
  libswscale      8.  3.100 /  8.  3.100
  libswresample   5.  3.100 /  5.  3.100
  libpostproc    58.  3.100 / 58.  3.100
[mov,mp4,m4a,3gp,3g2,mj2 @ 0x133f06f30] Format mov,mp4,m4a,3gp,3g2,mj2 detected only with low score of 1, misdetection possible!
[mov,mp4,m4a,3gp,3g2,mj2 @ 0x133f06f30] moov atom not found
[in#0 @ 0x133f06ce0] Error opening input: Invalid data found when processing input
Error opening input file /Users/dalecarman/Groove Jones Dropbox/Dale Carman/Projects/Bryan Rigg/_ORIGINAL_SOURCE/Bryan Mark Rigg - 19-19B Updated Version Helmut Krüger (50% Jew) 27 & 31 Aug. 1994, Berlin, Ger., Harald Steinke (50% Jew) 1 Sept. 1994 Berlin, Ger., and Helmuth Kopp (50% Jew) 3 Sept. 1994 Berlin. Ger.mp4.
Error opening input files: Invalid data found when processing input
"
"Bryan Rigg - Hide in Plain Sight.mp4","video","0.00","Error calculating duration: MoviePy error: failed to read the duration of file /Users/dalecarman/Groove Jones Dropbox/Dale Carman/Projects/Bryan Rigg/_ORIGINAL_SOURCE/Bryan Rigg - Hide in Plain Sight.mp4.
Here are the file infos returned by ffmpeg:

ffmpeg version 7.1 Copyright (c) 2000-2024 the FFmpeg developers
  built with Apple clang version 13.1.6 (clang-1316.0.21.2.5)
  configuration: --prefix=/Volumes/tempdisk/sw --extra-cflags=-fno-stack-check --arch=arm64 --cc=/usr/bin/clang --enable-gpl --enable-libvmaf --enable-libopenjpeg --enable-libopus --enable-libmp3lame --enable-libx264 --enable-libx265 --enable-libvpx --enable-libwebp --enable-libass --enable-libfreetype --enable-fontconfig --enable-libtheora --enable-libvorbis --enable-libsnappy --enable-libaom --enable-libvidstab --enable-libzimg --enable-libsvtav1 --enable-libharfbuzz --enable-libkvazaar --pkg-config-flags=--static --enable-ffplay --enable-postproc --enable-neon --enable-runtime-cpudetect --disable-indev=qtkit --disable-indev=x11grab_xcb
  libavutil      59. 39.100 / 59. 39.100
  libavcodec     61. 19.100 / 61. 19.100
  libavformat    61.  7.100 / 61.  7.100
  libavdevice    61.  3.100 / 61.  3.100
  libavfilter    10.  4.100 / 10.  4.100
  libswscale      8.  3.100 /  8.  3.100
  libswresample   5.  3.100 /  5.  3.100
  libpostproc    58.  3.100 / 58.  3.100
[mov,mp4,m4a,3gp,3g2,mj2 @ 0x150706fe0] Format mov,mp4,m4a,3gp,3g2,mj2 detected only with low score of 1, misdetection possible!
[mov,mp4,m4a,3gp,3g2,mj2 @ 0x150706fe0] moov atom not found
[in#0 @ 0x150706d90] Error opening input: Invalid data found when processing input
Error opening input file /Users/dalecarman/Groove Jones Dropbox/Dale Carman/Projects/Bryan Rigg/_ORIGINAL_SOURCE/Bryan Rigg - Hide in Plain Sight.mp4.
Error opening input files: Invalid data found when processing input
"
"Bryan Rigg - D/Hide in Plain Sight.mp4","video","0.00","Error calculating duration: MoviePy error: failed to read the duration of file /Users/dalecarman/Groove Jones Dropbox/Dale Carman/Projects/Bryan Rigg/_ORIGINAL_SOURCE/Bryan Rigg - D/Hide in Plain Sight.mp4.
Here are the file infos returned by ffmpeg:

ffmpeg version 7.1 Copyright (c) 2000-2024 the FFmpeg developers
  built with Apple clang version 13.1.6 (clang-1316.0.21.2.5)
  configuration: --prefix=/Volumes/tempdisk/sw --extra-cflags=-fno-stack-check --arch=arm64 --cc=/usr/bin/clang --enable-gpl --enable-libvmaf --enable-libopenjpeg --enable-libopus --enable-libmp3lame --enable-libx264 --enable-libx265 --enable-libvpx --enable-libwebp --enable-libass --enable-libfreetype --enable-fontconfig --enable-libtheora --enable-libvorbis --enable-libsnappy --enable-libaom --enable-libvidstab --enable-libzimg --enable-libsvtav1 --enable-libharfbuzz --enable-libkvazaar --pkg-config-flags=--static --enable-ffplay --enable-postproc --enable-neon --enable-runtime-cpudetect --disable-indev=qtkit --disable-indev=x11grab_xcb
  libavutil      59. 39.100 / 59. 39.100
  libavcodec     61. 19.100 / 61. 19.100
  libavformat    61.  7.100 / 61.  7.100
  libavdevice    61.  3.100 / 61.  3.100
  libavfilter    10.  4.100 / 10.  4.100
  libswscale      8.  3.100 /  8.  3.100
  libswresample   5.  3.100 /  5.  3.100
  libpostproc    58.  3.100 / 58.  3.100
[mov,mp4,m4a,3gp,3g2,mj2 @ 0x1250044f0] Format mov,mp4,m4a,3gp,3g2,mj2 detected only with low score of 1, misdetection possible!
[mov,mp4,m4a,3gp,3g2,mj2 @ 0x1250044f0] moov atom not found
[in#0 @ 0x125004290] Error opening input: Invalid data found when processing input
Error opening input file /Users/dalecarman/Groove Jones Dropbox/Dale Carman/Projects/Bryan Rigg/_ORIGINAL_SOURCE/Bryan Rigg - D/Hide in Plain Sight.mp4.
Error opening input files: Invalid data found when processing input
"
"Bryan Rigg - D/24 (Video Good) Otto Molden (25% Jew) 17 Sept. 1994, Vienna, Austria/01 Otto Molden 17 Sept. 1994.mp4","video","0.00","Error calculating duration: MoviePy error: failed to read the duration of file /Users/dalecarman/Groove Jones Dropbox/Dale Carman/Projects/Bryan Rigg/_ORIGINAL_SOURCE/Bryan Rigg - D/24 (Video Good) Otto Molden (25% Jew) 17 Sept. 1994, Vienna, Austria/01 Otto Molden 17 Sept. 1994.mp4.
Here are the file infos returned by ffmpeg:

ffmpeg version 7.1 Copyright (c) 2000-2024 the FFmpeg developers
  built with Apple clang version 13.1.6 (clang-1316.0.21.2.5)
  configuration: --prefix=/Volumes/tempdisk/sw --extra-cflags=-fno-stack-check --arch=arm64 --cc=/usr/bin/clang --enable-gpl --enable-libvmaf --enable-libopenjpeg --enable-libopus --enable-libmp3lame --enable-libx264 --enable-libx265 --enable-libvpx --enable-libwebp --enable-libass --enable-libfreetype --enable-fontconfig --enable-libtheora --enable-libvorbis --enable-libsnappy --enable-libaom --enable-libvidstab --enable-libzimg --enable-libsvtav1 --enable-libharfbuzz --enable-libkvazaar --pkg-config-flags=--static --enable-ffplay --enable-postproc --enable-neon --enable-runtime-cpudetect --disable-indev=qtkit --disable-indev=x11grab_xcb
  libavutil      59. 39.100 / 59. 39.100
  libavcodec     61. 19.100 / 61. 19.100
  libavformat    61.  7.100 / 61.  7.100
  libavdevice    61.  3.100 / 61.  3.100
  libavfilter    10.  4.100 / 10.  4.100
  libswscale      8.  3.100 /  8.  3.100
  libswresample   5.  3.100 /  5.  3.100
  libpostproc    58.  3.100 / 58.  3.100
[mov,mp4,m4a,3gp,3g2,mj2 @ 0x124706f30] Format mov,mp4,m4a,3gp,3g2,mj2 detected only with low score of 1, misdetection possible!
[mov,mp4,m4a,3gp,3g2,mj2 @ 0x124706f30] moov atom not found
[in#0 @ 0x124706ce0] Error opening input: Invalid data found when processing input
Error opening input file /Users/dalecarman/Groove Jones Dropbox/Dale Carman/Projects/Bryan Rigg/_ORIGINAL_SOURCE/Bryan Rigg - D/24 (Video Good) Otto Molden (25% Jew) 17 Sept. 1994, Vienna, Austria/01 Otto Molden 17 Sept. 1994.mp4.
Error opening input files: Invalid data found when processing input
"
"Bryan Rigg - D/123 W. Dieter Bergmann (50% Jew) 20 Sept. 1996, Oakland, CA, USA/123 W. Dieter Bergmann (50% Jew) 20 Sept. 1996.mp4","video","0.00","Error calculating duration: MoviePy error: failed to read the duration of file /Users/dalecarman/Groove Jones Dropbox/Dale Carman/Projects/Bryan Rigg/_ORIGINAL_SOURCE/Bryan Rigg - D/123 W. Dieter Bergmann (50% Jew) 20 Sept. 1996, Oakland, CA, USA/123 W. Dieter Bergmann (50% Jew) 20 Sept. 1996.mp4.
Here are the file infos returned by ffmpeg:

ffmpeg version 7.1 Copyright (c) 2000-2024 the FFmpeg developers
  built with Apple clang version 13.1.6 (clang-1316.0.21.2.5)
  configuration: --prefix=/Volumes/tempdisk/sw --extra-cflags=-fno-stack-check --arch=arm64 --cc=/usr/bin/clang --enable-gpl --enable-libvmaf --enable-libopenjpeg --enable-libopus --enable-libmp3lame --enable-libx264 --enable-libx265 --enable-libvpx --enable-libwebp --enable-libass --enable-libfreetype --enable-fontconfig --enable-libtheora --enable-libvorbis --enable-libsnappy --enable-libaom --enable-libvidstab --enable-libzimg --enable-libsvtav1 --enable-libharfbuzz --enable-libkvazaar --pkg-config-flags=--static --enable-ffplay --enable-postproc --enable-neon --enable-runtime-cpudetect --disable-indev=qtkit --disable-indev=x11grab_xcb
  libavutil      59. 39.100 / 59. 39.100
  libavcodec     61. 19.100 / 61. 19.100
  libavformat    61.  7.100 / 61.  7.100
  libavdevice    61.  3.100 / 61.  3.100
  libavfilter    10.  4.100 / 10.  4.100
  libswscale      8.  3.100 /  8.  3.100
  libswresample   5.  3.100 /  5.  3.100
  libpostproc    58.  3.100 / 58.  3.100
[mov,mp4,m4a,3gp,3g2,mj2 @ 0x121f06f30] Format mov,mp4,m4a,3gp,3g2,mj2 detected only with low score of 1, misdetection possible!
[mov,mp4,m4a,3gp,3g2,mj2 @ 0x121f06f30] moov atom not found
[in#0 @ 0x121f06ce0] Error opening input: Invalid data found when processing input
Error opening input file /Users/dalecarman/Groove Jones Dropbox/Dale Carman/Projects/Bryan Rigg/_ORIGINAL_SOURCE/Bryan Rigg - D/123 W. Dieter Bergmann (50% Jew) 20 Sept. 1996, Oakland, CA, USA/123 W. Dieter Bergmann (50% Jew) 20 Sept. 1996.mp4.
Error opening input files: Invalid data found when processing input
"
"Bryan Rigg - D/195 (Improved Tape) Rudolf Löwenfeld (50% Jew) 8 July 1997, Dreieich, Ger., Harald von Gottberg 9 July 1997 Frankfurt a.M., Ger., Dieter Effenberg (50% Jew) 9 July 1997 Frankfurt a.M., Ger., and Stephan Sanders 10 July 1997/2023-08-20 23-51-06.mp4","video","0.00","Error calculating duration: MoviePy error: failed to read the duration of file /Users/dalecarman/Groove Jones Dropbox/Dale Carman/Projects/Bryan Rigg/_ORIGINAL_SOURCE/Bryan Rigg - D/195 (Improved Tape) Rudolf Löwenfeld (50% Jew) 8 July 1997, Dreieich, Ger., Harald von Gottberg 9 July 1997 Frankfurt a.M., Ger., Dieter Effenberg (50% Jew) 9 July 1997 Frankfurt a.M., Ger., and Stephan Sanders 10 July 1997/2023-08-20 23-51-06.mp4.
Here are the file infos returned by ffmpeg:

ffmpeg version 7.1 Copyright (c) 2000-2024 the FFmpeg developers
  built with Apple clang version 13.1.6 (clang-1316.0.21.2.5)
  configuration: --prefix=/Volumes/tempdisk/sw --extra-cflags=-fno-stack-check --arch=arm64 --cc=/usr/bin/clang --enable-gpl --enable-libvmaf --enable-libopenjpeg --enable-libopus --enable-libmp3lame --enable-libx264 --enable-libx265 --enable-libvpx --enable-libwebp --enable-libass --enable-libfreetype --enable-fontconfig --enable-libtheora --enable-libvorbis --enable-libsnappy --enable-libaom --enable-libvidstab --enable-libzimg --enable-libsvtav1 --enable-libharfbuzz --enable-libkvazaar --pkg-config-flags=--static --enable-ffplay --enable-postproc --enable-neon --enable-runtime-cpudetect --disable-indev=qtkit --disable-indev=x11grab_xcb
  libavutil      59. 39.100 / 59. 39.100
  libavcodec     61. 19.100 / 61. 19.100
  libavformat    61.  7.100 / 61.  7.100
  libavdevice    61.  3.100 / 61.  3.100
  libavfilter    10.  4.100 / 10.  4.100
  libswscale      8.  3.100 /  8.  3.100
  libswresample   5.  3.100 /  5.  3.100
  libpostproc    58.  3.100 / 58.  3.100
[mov,mp4,m4a,3gp,3g2,mj2 @ 0x1349064e0] Format mov,mp4,m4a,3gp,3g2,mj2 detected only with low score of 1, misdetection possible!
[mov,mp4,m4a,3gp,3g2,mj2 @ 0x1349064e0] moov atom not found
[in#0 @ 0x134906290] Error opening input: Invalid data found when processing input
Error opening input file /Users/dalecarman/Groove Jones Dropbox/Dale Carman/Projects/Bryan Rigg/_ORIGINAL_SOURCE/Bryan Rigg - D/195 (Improved Tape) Rudolf Löwenfeld (50% Jew) 8 July 1997, Dreieich, Ger., Harald von Gottberg 9 July 1997 Frankfurt a.M., Ger., Dieter Effenberg (50% Jew) 9 July 1997 Frankfurt a.M., Ger., and Stephan Sanders 10 July 1997/2023-08-20 23-51-06.mp4.
Error opening input files: Invalid data found when processing input
"
"Bryan Rigg - D/9 Ehrenfried Weidemann, 31 July-1 Aug. 1994,Lübeck, Ger/9Ehrenfried Weidemann 31July-1August 1994.mp4","video","0.00","Error calculating duration: MoviePy error: failed to read the duration of file /Users/dalecarman/Groove Jones Dropbox/Dale Carman/Projects/Bryan Rigg/_ORIGINAL_SOURCE/Bryan Rigg - D/9 Ehrenfried Weidemann, 31 July-1 Aug. 1994,Lübeck, Ger/9Ehrenfried Weidemann 31July-1August 1994.mp4.
Here are the file infos returned by ffmpeg:

ffmpeg version 7.1 Copyright (c) 2000-2024 the FFmpeg developers
  built with Apple clang version 13.1.6 (clang-1316.0.21.2.5)
  configuration: --prefix=/Volumes/tempdisk/sw --extra-cflags=-fno-stack-check --arch=arm64 --cc=/usr/bin/clang --enable-gpl --enable-libvmaf --enable-libopenjpeg --enable-libopus --enable-libmp3lame --enable-libx264 --enable-libx265 --enable-libvpx --enable-libwebp --enable-libass --enable-libfreetype --enable-fontconfig --enable-libtheora --enable-libvorbis --enable-libsnappy --enable-libaom --enable-libvidstab --enable-libzimg --enable-libsvtav1 --enable-libharfbuzz --enable-libkvazaar --pkg-config-flags=--static --enable-ffplay --enable-postproc --enable-neon --enable-runtime-cpudetect --disable-indev=qtkit --disable-indev=x11grab_xcb
  libavutil      59. 39.100 / 59. 39.100
  libavcodec     61. 19.100 / 61. 19.100
  libavformat    61.  7.100 / 61.  7.100
  libavdevice    61.  3.100 / 61.  3.100
  libavfilter    10.  4.100 / 10.  4.100
  libswscale      8.  3.100 /  8.  3.100
  libswresample   5.  3.100 /  5.  3.100
  libpostproc    58.  3.100 / 58.  3.100
[mov,mp4,m4a,3gp,3g2,mj2 @ 0x124f06f30] Format mov,mp4,m4a,3gp,3g2,mj2 detected only with low score of 1, misdetection possible!
[mov,mp4,m4a,3gp,3g2,mj2 @ 0x124f06f30] moov atom not found
[in#0 @ 0x124f06ce0] Error opening input: Invalid data found when processing input
Error opening input file /Users/dalecarman/Groove Jones Dropbox/Dale Carman/Projects/Bryan Rigg/_ORIGINAL_SOURCE/Bryan Rigg - D/9 Ehrenfried Weidemann, 31 July-1 Aug. 1994,Lübeck, Ger/9Ehrenfried Weidemann 31July-1August 1994.mp4.
Error opening input files: Invalid data found when processing input
"
"Bryan Rigg - D/27 (Video Good) Theodor  Oberländer (Bergmann Outfit) 19 September 1994 Bonn, Germany and Heinz Diekmann (75% Jew) 19 September 1994, Wiesbaden, Germany/1 Theodor  Oberländer 19 September 1994.mp4","video","0.00","Error calculating duration: MoviePy error: failed to read the duration of file /Users/dalecarman/Groove Jones Dropbox/Dale Carman/Projects/Bryan Rigg/_ORIGINAL_SOURCE/Bryan Rigg - D/27 (Video Good) Theodor  Oberländer (Bergmann Outfit) 19 September 1994 Bonn, Germany and Heinz Diekmann (75% Jew) 19 September 1994, Wiesbaden, Germany/1 Theodor  Oberländer 19 September 1994.mp4.
Here are the file infos returned by ffmpeg:

ffmpeg version 7.1 Copyright (c) 2000-2024 the FFmpeg developers
  built with Apple clang version 13.1.6 (clang-1316.0.21.2.5)
  configuration: --prefix=/Volumes/tempdisk/sw --extra-cflags=-fno-stack-check --arch=arm64 --cc=/usr/bin/clang --enable-gpl --enable-libvmaf --enable-libopenjpeg --enable-libopus --enable-libmp3lame --enable-libx264 --enable-libx265 --enable-libvpx --enable-libwebp --enable-libass --enable-libfreetype --enable-fontconfig --enable-libtheora --enable-libvorbis --enable-libsnappy --enable-libaom --enable-libvidstab --enable-libzimg --enable-libsvtav1 --enable-libharfbuzz --enable-libkvazaar --pkg-config-flags=--static --enable-ffplay --enable-postproc --enable-neon --enable-runtime-cpudetect --disable-indev=qtkit --disable-indev=x11grab_xcb
  libavutil      59. 39.100 / 59. 39.100
  libavcodec     61. 19.100 / 61. 19.100
  libavformat    61.  7.100 / 61.  7.100
  libavdevice    61.  3.100 / 61.  3.100
  libavfilter    10.  4.100 / 10.  4.100
  libswscale      8.  3.100 /  8.  3.100
  libswresample   5.  3.100 /  5.  3.100
  libpostproc    58.  3.100 / 58.  3.100
[mov,mp4,m4a,3gp,3g2,mj2 @ 0x144f06f30] Format mov,mp4,m4a,3gp,3g2,mj2 detected only with low score of 1, misdetection possible!
[mov,mp4,m4a,3gp,3g2,mj2 @ 0x144f06f30] moov atom not found
[in#0 @ 0x144f06ce0] Error opening input: Invalid data found when processing input
Error opening input file /Users/dalecarman/Groove Jones Dropbox/Dale Carman/Projects/Bryan Rigg/_ORIGINAL_SOURCE/Bryan Rigg - D/27 (Video Good) Theodor  Oberländer (Bergmann Outfit) 19 September 1994 Bonn, Germany and Heinz Diekmann (75% Jew) 19 September 1994, Wiesbaden, Germany/1 Theodor  Oberländer 19 September 1994.mp4.
Error opening input files: Invalid data found when processing input
"
"Bryan Rigg - D/220B Gerd zu Klampen (50% Jew), 25 March 1997, Berlin, Ger/220 XX Gerd zu Klampen (50% Jew) 25 March 1997.mp4","video","0.00","Error calculating duration: MoviePy error: failed to read the duration of file /Users/dalecarman/Groove Jones Dropbox/Dale Carman/Projects/Bryan Rigg/_ORIGINAL_SOURCE/Bryan Rigg - D/220B Gerd zu Klampen (50% Jew), 25 March 1997, Berlin, Ger/220 XX Gerd zu Klampen (50% Jew) 25 March 1997.mp4.
Here are the file infos returned by ffmpeg:

ffmpeg version 7.1 Copyright (c) 2000-2024 the FFmpeg developers
  built with Apple clang version 13.1.6 (clang-1316.0.21.2.5)
  configuration: --prefix=/Volumes/tempdisk/sw --extra-cflags=-fno-stack-check --arch=arm64 --cc=/usr/bin/clang --enable-gpl --enable-libvmaf --enable-libopenjpeg --enable-libopus --enable-libmp3lame --enable-libx264 --enable-libx265 --enable-libvpx --enable-libwebp --enable-libass --enable-libfreetype --enable-fontconfig --enable-libtheora --enable-libvorbis --enable-libsnappy --enable-libaom --enable-libvidstab --enable-libzimg --enable-libsvtav1 --enable-libharfbuzz --enable-libkvazaar --pkg-config-flags=--static --enable-ffplay --enable-postproc --enable-neon --enable-runtime-cpudetect --disable-indev=qtkit --disable-indev=x11grab_xcb
  libavutil      59. 39.100 / 59. 39.100
  libavcodec     61. 19.100 / 61. 19.100
  libavformat    61.  7.100 / 61.  7.100
  libavdevice    61.  3.100 / 61.  3.100
  libavfilter    10.  4.100 / 10.  4.100
  libswscale      8.  3.100 /  8.  3.100
  libswresample   5.  3.100 /  5.  3.100
  libpostproc    58.  3.100 / 58.  3.100
[mov,mp4,m4a,3gp,3g2,mj2 @ 0x1227064e0] Format mov,mp4,m4a,3gp,3g2,mj2 detected only with low score of 1, misdetection possible!
[mov,mp4,m4a,3gp,3g2,mj2 @ 0x1227064e0] moov atom not found
[in#0 @ 0x122706290] Error opening input: Invalid data found when processing input
Error opening input file /Users/dalecarman/Groove Jones Dropbox/Dale Carman/Projects/Bryan Rigg/_ORIGINAL_SOURCE/Bryan Rigg - D/220B Gerd zu Klampen (50% Jew), 25 March 1997, Berlin, Ger/220 XX Gerd zu Klampen (50% Jew) 25 March 1997.mp4.
Error opening input files: Invalid data found when processing input
"
"Bryan Rigg - D/112 Reiner Wiehl (50% Jew) 17 May 1996, Heidelberg, Ger. & Franz Margold (50% Jew) 18 May 1996, Malchen, Ger/01Reiner Wiehl 17 May 1996, & Franz Margold 18 May 1996.mp4","video","0.00","Error calculating duration: MoviePy error: failed to read the duration of file /Users/dalecarman/Groove Jones Dropbox/Dale Carman/Projects/Bryan Rigg/_ORIGINAL_SOURCE/Bryan Rigg - D/112 Reiner Wiehl (50% Jew) 17 May 1996, Heidelberg, Ger. & Franz Margold (50% Jew) 18 May 1996, Malchen, Ger/01Reiner Wiehl 17 May 1996, & Franz Margold 18 May 1996.mp4.
Here are the file infos returned by ffmpeg:

ffmpeg version 7.1 Copyright (c) 2000-2024 the FFmpeg developers
  built with Apple clang version 13.1.6 (clang-1316.0.21.2.5)
  configuration: --prefix=/Volumes/tempdisk/sw --extra-cflags=-fno-stack-check --arch=arm64 --cc=/usr/bin/clang --enable-gpl --enable-libvmaf --enable-libopenjpeg --enable-libopus --enable-libmp3lame --enable-libx264 --enable-libx265 --enable-libvpx --enable-libwebp --enable-libass --enable-libfreetype --enable-fontconfig --enable-libtheora --enable-libvorbis --enable-libsnappy --enable-libaom --enable-libvidstab --enable-libzimg --enable-libsvtav1 --enable-libharfbuzz --enable-libkvazaar --pkg-config-flags=--static --enable-ffplay --enable-postproc --enable-neon --enable-runtime-cpudetect --disable-indev=qtkit --disable-indev=x11grab_xcb
  libavutil      59. 39.100 / 59. 39.100
  libavcodec     61. 19.100 / 61. 19.100
  libavformat    61.  7.100 / 61.  7.100
  libavdevice    61.  3.100 / 61.  3.100
  libavfilter    10.  4.100 / 10.  4.100
  libswscale      8.  3.100 /  8.  3.100
  libswresample   5.  3.100 /  5.  3.100
  libpostproc    58.  3.100 / 58.  3.100
[mov,mp4,m4a,3gp,3g2,mj2 @ 0x159e16d80] Format mov,mp4,m4a,3gp,3g2,mj2 detected only with low score of 1, misdetection possible!
[mov,mp4,m4a,3gp,3g2,mj2 @ 0x159e16d80] moov atom not found
[in#0 @ 0x159e16b30] Error opening input: Invalid data found when processing input
Error opening input file /Users/dalecarman/Groove Jones Dropbox/Dale Carman/Projects/Bryan Rigg/_ORIGINAL_SOURCE/Bryan Rigg - D/112 Reiner Wiehl (50% Jew) 17 May 1996, Heidelberg, Ger. & Franz Margold (50% Jew) 18 May 1996, Malchen, Ger/01Reiner Wiehl 17 May 1996, & Franz Margold 18 May 1996.mp4.
Error opening input files: Invalid data found when processing input
"
